2019-01-20 14:31:41.363   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 3
2019-01-20 14:31:41.363   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.364   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 3
2019-01-20 14:31:41.364   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.364   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 2
2019-01-20 14:31:41.364   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.364   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 1
2019-01-20 14:31:41.364   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.365   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 2
2019-01-20 14:31:41.365   CheckpointerImpl processEvent        113 FINE    : Node 1 BEGIN
2019-01-20 14:31:41.365   CheckpointerImpl receiveRollBa       233 FINE    : Node 1 receive RollBackMessage from 4
2019-01-20 14:31:41.366   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.366   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 2
2019-01-20 14:31:41.366   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.366   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 3
2019-01-20 14:31:41.366   CheckpointerImpl processEvent        113 FINE    : Node 2 BEGIN
2019-01-20 14:31:41.366   CheckpointerImpl receiveRollBa       233 FINE    : Node 2 receive RollBackMessage from 1
2019-01-20 14:31:41.367   CheckpointerImpl processEvent        113 FINE    : Node 4 BEGIN
2019-01-20 14:31:41.367   CheckpointerImpl receiveRollBa       233 FINE    : Node 4 receive RollBackMessage from 1
2019-01-20 14:31:41.367   CheckpointerImpl processEvent        113 FINE    : Node 3 BEGIN
2019-01-20 14:31:41.367   CheckpointerImpl receiveRollBa       233 FINE    : Node 3 receive RollBackMessage from 1
2019-01-20 14:31:41.367   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.368   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 4
2019-01-20 14:31:41.368   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.368   CheckpointerImpl receiveRollBa       233 FINE    : Node 0 receive RollBackMessage from 2
2019-01-20 14:31:41.368   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.368   CheckpointerImpl receiveFinish       275 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.368   CheckpointerImpl processEvent        113 FINE    : Node 0 BEGIN
2019-01-20 14:31:41.369   CheckpointerImpl receiveFinish       275 FINE    : Node 0 BEGIN
